seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	numcodinggenes	name	freq	freqCMA
chr15	84351756	90290429	5938674	*	15957	0.9154602995550543	177	16kb_91.5%	RLBP1,CIB1,ALPK3,FANCI,WDR73,MESP2,KIF7,ACAN,POLG	RLBP1,CIB1,ALPK3,FANCI,WDR73,AGBL1,MESP2,KIF7,ACAN,IDH2,PLIN1,POLG	SEMA4B,RHCG,TICRR,ANPEP,PDE8A,POLG	RLBP1,SEMA4B,SLC28A1,MRPL46,MRPS11,CIB1,ALPK3,SEC11A,NGRN,RHCG,ABHD2,ZSCAN2,HAPLN3,ZNF710,DET1,FANCI,AEN,KLHL25,WDR73,AGBL1,WDR93,TICRR,ARPIN,ZNF592,MESP1,MESP2,KIF7,ACAN,TTLL13P,GDPGP1,AKAP13,ARPIN-AP3S2,ANPEP,IDH2,AP3S2,ISG20,MFGE8,NMB,NTRK3,PDE8A,PEX11A,PLIN1,POLG	RLBP1,SCAND2P,SEMA4B,SLC28A1,MRPL46,HMGB1P8,MRPS11,CIB1,ALPK3,SEC11A,NGRN,RHCG,ABHD2,ZSCAN2,HAPLN3,ZNF710,DET1,FANCI,AEN,KLHL25,WDR73,LINC00052,AGBL1,WDR93,MIR9-3HG,NTRK3-AS1,LINC00928,TICRR,ARPIN,ZNF592,CSPG4P5,MESP1,MESP2,MRPL15P1,GOLGA6L5P,KIF7,FABP5P9,MIR7-2,MIR9-3,ACAN,TTLL13P,KRT18P47,RNU7-79P,GDPGP1,MIR1179,MIR1276,RPS12P26,RPL36AP43,AKAP13,UBE2Q2P1,GOLGA6L3,MIR3174,ARPIN-AP3S2,MIR3529,RNA5SP400,MIR5009,MIR548AP,MIR5094,EGLN1P1,NIFKP8,MED28P6,RNU7-111P,RNU7-195P,RN7SL346P,RN7SL417P,RN7SL428P,RNU6-132P,RNU6-185P,RNU6-231P,RNU6-339P,RNU6-796P,RNU6-1111P,RNU6-1280P,CSPG4P12,DNM1P51,AGBL1-AS1,LINC00933,ADAMTS7P4,UBE2Q2P11,UBE2Q2P12,MIR6766,ANPEP,MIR7706,LINC01584,LINC01586,ZNF710-AS1,IDH2-DT,IDH2,LINC02883,CARMAL,AP3S2,ISG20,MFGE8,NMB,NTRK3,PDE8A,PEX11A,PLIN1,POLG	99	43	NA	NA	NA
chr15	90289343	99788523	9499181	*	2663	0.9034923019151333	160	3kb_90.3%	BLM,VPS33B,IGF1R	BLM,VPS33B,CHD2,IGF1R,NR2F2	BLM,SV2B,UNC45A,MAN2A2,PRC1	BLM,ST8SIA2,SLCO3A1,VPS33B,SV2B,CHD2,SYNM,MCTP2,TTC23,CRTC3,LYSMD4,PGPEP1L,ARRDC4,LRRC28,RGMA,RCCD1,HDDC3,UNC45A,ZNF774,FAM174B,FES,IGF1R,IQGAP1,MAN2A2,MEF2A,NR2F2,FURIN,PRC1	RNU2-3P,BLM,ST8SIA2,SLCO3A1,HSP90B2P,VPS33B,SV2B,CHD2,ASB9P1,SYNM,MCTP2,TTC23,CRTC3,C15orf32,LYSMD4,FAM169B,PGPEP1L,LINC00924,LINC01579,ARRDC4,LINC00923,LRRC28,SPATA8,RPL7P5,RGMA,RCCD1,HDDC3,UNC45A,H2AZ2P1,FAM149B1P1,DUXAP6,ZNF774,FAM174B,MIR1469,FES,ENO1P2,MIR3175,HMGN1P38,GABARAPL3,MIR4714,SEPHS1P2,PGAM1P12,RNA5SP401,NR2F2-AS1,NDUFA3P4,RN7SKP181,RN7SKP254,RN7SL363P,RN7SL677P,RN7SL736P,RNU6-1186P,PRC1-AS1,LINC00930,CHASERR,SPATA8-AS1,HNRNPA1P62,HSPE1P3,LINC01197,GOLGA2P8,IRAIN,LUNAR1,VPS33B-DT,LINC01580,LINC01581,LINC01582,LINC01585,CRTC3-AS1,LINC02157,LINC02207,LINC02251,LINC02253,LINC02254,LINC02351,LINC02244,LINC02852,H3P40,IGF1R,YBX2P2,RCCD1-AS1,THRAP3P2,TUBAP12,IQGAP1,MAN2A2,MEF2A,NPM1P5,NR2F2,FURIN,PRC1	88	28	NA	NA	NA
chrX	53756716	54789215	1032500	*	1256	0.9355095541401274	150	1kb_93.6%		PHF8,TSR2,FGD1		WNK3,FAM120C,PHF8,TSR2,GNL3L,ITIH6,FGD1	WNK3,FAM120C,PHF8,TSR2,GNL3L,ITIH6,RPL7AP71,RPL37P24,FGD1,PGAM4P1,RNA5SP505,MRPS18CP7,RNU6-434P,MRPL32P2	14	7	NA	NA	NA
chr15	82475519	90289218	7813700	*	13783	0.9109047377203802	146	14kb_91.1%	RLBP1,CIB1,ALPK3,FANCI,WDR73,MESP2,KIF7,ACAN,AP3B2,POLG	RLBP1,RPS17,BNC1,CIB1,HOMER2,ALPK3,FANCI,WDR73,AGBL1,MESP2,KIF7,ACAN,IDH2,AP3B2,PLIN1,POLG	SEMA4B,BTBD1,ADAMTSL3,RHCG,TICRR,ANPEP,PDE8A,POLG	RLBP1,RPS17,SEMA4B,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,MRPL46,MRPS11,ADAMTSL3,CIB1,HOMER2,ALPK3,SEC11A,FSD2,NGRN,RHCG,ABHD2,ZSCAN2,HAPLN3,CPEB1,HDGFL3,ZNF710,DET1,FANCI,AEN,KLHL25,WDR73,AGBL1,WDR93,GOLGA6L4,C15orf40,TICRR,ARPIN,ZNF592,MESP1,MESP2,WHAMM,KIF7,RAMAC,ACAN,TTLL13P,GDPGP1,AKAP13,ARPIN-AP3S2,ANPEP,IDH2,AP3B2,AP3S2,ISG20,MFGE8,NMB,NTRK3,PDE8A,PEX11A,PLIN1,POLG	RLBP1,RPS17,SCAND2P,SEMA4B,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,MRPL46,HMGB1P8,MRPS11,ADAMTSL3,CIB1,HOMER2,ALPK3,SEC11A,FSD2,NGRN,RHCG,ABHD2,ZSCAN2,HAPLN3,CPEB1,HDGFL3,ZNF710,DET1,FANCI,AEN,KLHL25,WDR73,GOLGA2P10,LINC00052,AGBL1,WDR93,GOLGA6L4,MIR9-3HG,CPEB1-AS1,NTRK3-AS1,LINC00928,C15orf40,TICRR,ARPIN,ZNF592,CSPG4P5,MESP1,MESP2,MRPL15P1,GOLGA6L5P,WHAMM,KIF7,RAMAC,FABP5P8,FABP5P9,MIR7-2,MIR9-3,EFL1P1,ACAN,TTLL13P,SCARNA15,KRT18P47,RNU7-79P,GDPGP1,DNM1P38,DNM1P41,MIR1179,MIR1276,RPS12P26,RPL36AP43,AKAP13,UBE2Q2P1,GOLGA6L3,MIR3174,ARPIN-AP3S2,MIR3529,MIR4515,RNA5SP400,MIR5009,MIR548AP,MIR5094,EGLN1P1,TUBAP4,UBE2Q2L,NIFKP8,MED28P6,RNU7-111P,RNU7-195P,RN7SL331P,RN7SL346P,RN7SL417P,RN7SL428P,RNU6-132P,RNU6-185P,RNU6-231P,RNU6-339P,RNU6-401P,RNU6-796P,RNU6-1111P,RNU6-1280P,RNU6-1339P,CSPG4P10,CSPG4P12,CSPG4P11,DNM1P51,AGBL1-AS1,LINC00933,ADAMTS7P4,GOLGA6L17P,GOLGA2P7,UBE2Q2P8,UBE2Q2P11,UBE2Q2P12,MIR6766,ANPEP,MIR7706,SNHG21,LINC01584,LINC01586,ACTG1P17,ZNF710-AS1,IDH2-DT,IDH2,LINC02883,CARMAL,AP3B2,AP3S2,ISG20,MFGE8,NMB,NTRK3,PDE8A,PEX11A,PLIN1,POLG	134	58	NA	NA	NA
chr17	64926053	67961754	3035702	*	4613	0.9343160632993713	138	5kb_93.4%	CEP112	RGS9,CEP112,BPTF,AXIN2,PSMD12	NOL11	RGS9,CACNG1,CACNG4,CACNG5,HELZ,PITPNC1,NOL11,CEP112,BPTF,GNA13,APOH,AXIN2,PRKCA,PSMD12	RGS9,CACNG1,CACNG4,CACNG5,HELZ,PITPNC1,NOL11,AMZ2P1,CEP112,MIR548D2,MIR634,SNORA38B,BPTF,RPL17P41,RPL36AP48,MIR548AA2,RNA5SP444,RNA5SP445,RNA5SP446,RNA5SP447,GNA13,RN7SL735P,RN7SL756P,RNU6-928P,SLC16A6P1,PRKCA-AS1,RPSAP67,LINC02563,APOH,PSMD7P1,AXIN2,PRKCA,PSMD12	33	14	NA	NA	NA
chr15	77902809	84369543	6466735	*	26131	0.9033714744938961	133	26kb_90.3%	MESD,ARNT2,CHRNA3,CIB2,EFL1,TBC1D2B,CEMIP,FAH,IDH3A,AP3B2,IREB2,MTHFS	RPS17,BNC1,MESD,ARNT2,HOMER2,CHRNA3,CIB2,EFL1,TBC1D2B,CEMIP,MIR184,FAH,IDH3A,AP3B2,IREB2,MTHFS	BTBD1,ADAMTSL3,DNAJA4,ADAMTS7,EFL1,MINAR1,TBC1D2B,CEMIP,ACSBG1,IL16	RPS17,BNC1,SH3GL3,BTBD1,TM6SF1,TLNRD1,MESD,ADAMTSL3,DNAJA4,ARNT2,MORF4L1,HOMER2,FSD2,STARD5,CHRNA3,CHRNA5,CHRNB4,CPEB1,ADAMTS7,TMC3,CRABP1,CIB2,HDGFL3,MEX3B,CTSH,EFL1,CFAP161,ABHD17C,GOLGA6L4,C15orf40,TMED3,MINAR1,TBC1D2B,CEMIP,ACSBG1,ZFAND6,WDR61,WHAMM,RAMAC,ST20,SAXO2,ANKRD34C,HYKK,SH2D7,FAH,GOLGA6L10,GOLGA6L9,ST20-MTHFS,CTXND1,IDH3A,AP3B2,IL16,IREB2,MTHFS,PSMA4,RASGRF1,BCL2A1	RPS17,BNC1,SH3GL3,BTBD1,TM6SF1,TLNRD1,MESD,ADAMTSL3,DNAJA4,ARNT2,MORF4L1,HOMER2,FSD2,STARD5,CHRNA3,CHRNA5,CHRNB4,CPEB1,ADAMTS7,TMC3,CRABP1,CIB2,HDGFL3,MEX3B,CTSH,EFL1,GOLGA2P10,CFAP161,ABHD17C,GOLGA6L4,ST20-AS1,LINC00927,CPEB1-AS1,C15orf40,TMED3,MINAR1,TBC1D2B,CEMIP,ACSBG1,ZFAND6,WDR61,WHAMM,RAMAC,FABP5P8,MIR184,EFL1P1,SCARNA15,MIR549A,ST20,SAXO2,ANKRD34C,HYKK,SH2D7,DNM1P38,DNM1P41,RPL18P11,FAH,RPL21P116,GOLGA6L10,GOLGA6L9,UBE2Q2P2,MIR4515,MIR4514,MIR5572,ANP32BP3,TUBAP4,ST20-MTHFS,UBE2Q2L,RN7SL214P,RN7SL331P,RNU6-380P,RNU6-401P,RNU6-415P,RNU6-667P,RNU6-1339P,CSPG4P10,CSPG4P11,RNU1-77P,ANKRD34C-AS1,HNRNPCP3,CSPG4P13,ADAMTS7P1,ADAMTS7P3,UBE2Q2P6,GOLGA6L17P,GOLGA2P7,UBE2Q2P8,SNHG21,CTXND1,TMC3-AS1,LINC01583,ACTG1P17,COMMD4P1,IDH3A,TFDP1P3,AP3B2,IL16,IREB2,MTHFS,PSMA4,RASGRF1,BCL2A1	102	57	NA	NA	NA
chr5	178041563	180682697	2641135	*	1266	0.919431279620853	132	1kb_91.9%	SQSTM1,NHP2,ADAMTS2,PHYKPL,GRM6	SQSTM1,NHP2,ADAMTS2,PHYKPL,FLT4,GRM6,HNRNPH1	ZNF354A,CLK4,ZNF354B,RUFY1,TBC1D9B,GFPT2	SQSTM1,ZNF354A,MAML1,CLK4,CNOT6,NHP2,CANX,ZNF354C,ZNF354B,RNF130,SCGB3A1,GMCL2,RUFY1,ZNF454,ADAMTS2,COL23A1,ZFP2,RMND5B,RASGEF1C,PHYKPL,TBC1D9B,N4BP3,MRNIP,CBY3,ZNF879,FLT4,GFPT2,GRM6,HNRNPAB,HNRNPH1,MSANTD5,LTC4S,MAPK9,MGAT4B	SQSTM1,ZNF354A,MAML1,CLK4,CNOT6,NHP2,CANX,ZNF354C,ZNF354B,AACSP1,RNF130,SCGB3A1,GMCL2,RUFY1,ZNF454,ADAMTS2,COL23A1,ZFP2,RMND5B,RASGEF1C,C5orf60,PHYKPL,TBC1D9B,N4BP3,MRNIP,MIR340,CBY3,MIR1229,FAM153CP,RPS15AP18,ZNF879,FLT4,HMGB3P22,RUFY1-AS1,GFPT2,PRDX2P3,RN7SKP70,RN7SKP150,GRM6,RN7SL646P,RNU6-525P,RNU1-39P,HNRNPAB,HNRNPH1,MSANTD5,ZNF454-DT,LTC4S,MAPK9,MGAT4B,PIGFP1	50	34	NA	NA	NA
chrX	75325413	83747449	8422037	*	2582	0.95429899302866	132	3kb_95.4%		TBX22,BRWD3,ZDHHC15,COX7B,MAGT1,FGF16,ATP7A,ATRX,PGK1,POU3F4		SH3BGRL,TBX22,TAF9B,BRWD3,CYSLTR1,P2RY10,ZDHHC15,PGAM4,COX7B,RTL3,MAGEE1,MAGEE2,TENT5D,PBDC1,MAGT1,GPR174,FGF16,LPAR4,ITM2A,HMGN5,ATP7A,ATRX,PGK1,POU3F4	SH3BGRL,TBX22,VDAC1P1,KIF4CP,TAF9B,BRWD3,CYSLTR1,BRAFP1,P2RY10,ZDHHC15,PGAM4,COX7B,RTL3,TTC3P1,MAGEE1,MAGEE2,TENT5D,PBDC1,MAGT1,GPR174,FABP5P15,MIR325,MIR384,P2RY10BP,FNDC3CP,RPL21P134,RPL22P22,FGF16,RPL7P54,SAR1AP4,MIR4328,HMGN1P34,PCNPP4,RNA5SP508,RNA5SP509,ATG4AP1,LPAR4,UBE2V1P7,RN7SL460P,RNU6-493P,RNU6-854P,RNU6-867P,RNU6-974P,RNU6-995P,PPATP2,HNRNPH3P1,HK2P1,CHMP1B2P,TRAPPC13P1,CTHRC1P1,SPRYD7P1,TERF1P7,WBP11P3,FOXN3P2,MMADHCP1,ARL5AP5,CORO1CP1,PSMA1P1,PDK1P2,EIF3JP1,EIF3MP1,POMPP1,ITM2A,LDHBP2,HMGN5,ATP7A,ATRX,PGK1,POU3F4	69	24	NA	NA	NA
chr17	16161543	22058588	5897046	*	8733	0.9487003320737433	126	9kb_94.9%	TOP3A,MIEF2,TNFRSF13B,ATPAF2,B9D1,ALDH3A2,GRAP,MYO15A,PIGL	SREBF1,TOP3A,MIEF2,TNFRSF13B,ATPAF2,B9D1,FLCN,ALDH3A2,GRAP,MYO15A,NCOR1,PIGL,RAI1	TOM1L2,TOP3A,ULK2,SMCR8,SPECC1,FAM83G,FLII,LLGL1,MAPK7	SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,UBB,USP22,RNF112,ULK2,ZNF287,NT5M,RASD1,TMEM11,MIEF2,SMCR8,TRPV2,TNFRSF13B,EPN2,ATPAF2,TVP23B,COPS3,SLC5A10,B9D1,DHRS7B,LGALS9B,DRC3,MED9,SLC47A1,ALKBH5,SLC47A2,TBC1D28,FLCN,GID4,CCDC144A,ZNF624,CENPV,DRG2,MPRIP,PLD6,SPECC1,NATD1,LRRC75A,FAM83G,LGALS9C,CDRT15L2,EVPLL,AKAP10,GRAPL,FLII,FOXO3B,KCNJ18,ALDH3A2,ALDH3A1,GRAP,KCNJ12,LLGL1,MAP2K3,MAPK7,MFAP4,MYO15A,NCOR1,PEMT,PIGL,PRPSAP2,RAI1	RNASEH1P1,SNORD3B-1,SNORD49A,SCDP1,SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,UBB,USP22,RNF112,ULK2,ZNF287,NT5M,RASD1,TMEM11,MEIS3P2,SMCR2,SMCR5,MIEF2,SMCR8,TRPV2,TNFRSF13B,EPN2,RNASEH1P2,ATPAF2,TVP23B,COTL1P1,KCTD9P1,COPS3,SLC5A10,B9D1,COTL1P2,DHRS7B,LGALS9B,DRC3,MED9,SLC47A1,FAM106A,ALKBH5,SLC47A2,CCDC144B,TBC1D28,FLCN,LINC02693,TBC1D27P,GID4,SNHG29,CCDC144A,CCDC144CP,ZNF624,CENPV,DRG2,MPRIP,SRP68P2,SRP68P1,SRP68P3,PLD6,UPF3AP2,UPF3AP1,SPECC1,USP32P2,NATD1,UBE2SP2,LRRC75A,TBC1D3P3,TBC1D3P4,BRI3P3,FAM83G,SNORA59B,TRIM16L,SNORD49B,SNORD65,MIR33B,SNORD3A,SNORD3B-2,SNORD3C,SNORD3D,ZNF286B,CCDC144NL,LGALS9C,ABHD17AP6,CDRT15L2,NMTRQ-TTG12-1,NOS2P3,EVPLL,MIR1180,MIR1288,RPL13P12,RPL21P120,RPS2P46,RPL17P43,RPL21P121,AKAP10,RPL7AP65,GRAPL,FLII,KRT16P2,KRT16P3,KRT16P4,KRT16P5,FTLP12,FOXO3B,FAM106C,KCNJ18,KYNUP1,KYNUP2,KYNUP3,HNRNPA1P19,NEK4P2,ALDH3A2,RAI1-AS1,ALDH3A1,EPN2-AS1,MPRIP-AS1,MTND1P14,MTND2P12,USP32P1,USP32P3,ZSWIM5P2,TSEN15P1,RNFT1P3,TNPO1P2,NDUFB4P3,OLA1P2,GRAP,RN7SL426P,RN7SL442P,RN7SL620P,RN7SL627P,RN7SL775P,RNU6-258P,RNU6-405P,RNU6-467P,RNU6-468P,RNU6-767P,RNU6-1057P,RNU6-1178P,PDLIM1P2,YWHAEP2,YWHAEP3,EIF1P5,ACTG1P24,MIR6777,MIR6778,TNPO1P3,KRT16P6,NOS2P4,KRT17P4,KRT17P5,KRT17P6,KRT17P7,CCDC144NL-AS1,LINC01563,SLC47A1P1,MTCO1P39,LINC02076,LINC02088,LINC02090,LINC02094,SLC47A1P2,SPECC1P2,SRSF6P2,KCNJ12,KRT16P1,KRT17P1,KRT17P2,LLGL1,MAP2K3,MAPK7,MFAP4,MYO15A,NCOR1,NOS2P2,PEMT,PIGL,PRPSAP2,RAI1	179	65	NA	NA	NA
chr17	16192382	22068380	5875999	*	17560	0.941742596810934	121	18kb_94.2%	TOP3A,MIEF2,TNFRSF13B,ATPAF2,B9D1,ALDH3A2,GRAP,MYO15A,PIGL	SREBF1,TOP3A,MIEF2,TNFRSF13B,ATPAF2,B9D1,FLCN,ALDH3A2,GRAP,MYO15A,NCOR1,PIGL,RAI1	TOM1L2,TOP3A,ULK2,SMCR8,SPECC1,FAM83G,FLII,LLGL1,MAPK7	SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,UBB,USP22,RNF112,ULK2,ZNF287,NT5M,RASD1,TMEM11,MIEF2,SMCR8,TRPV2,TNFRSF13B,EPN2,ATPAF2,TVP23B,COPS3,SLC5A10,B9D1,DHRS7B,LGALS9B,DRC3,MED9,SLC47A1,ALKBH5,SLC47A2,TBC1D28,FLCN,GID4,CCDC144A,ZNF624,CENPV,DRG2,MPRIP,PLD6,SPECC1,NATD1,LRRC75A,FAM83G,LGALS9C,CDRT15L2,EVPLL,AKAP10,GRAPL,FLII,FOXO3B,KCNJ18,ALDH3A2,ALDH3A1,GRAP,KCNJ12,LLGL1,MAP2K3,MAPK7,MFAP4,MYO15A,NCOR1,PEMT,PIGL,PRPSAP2,RAI1	RNASEH1P1,SNORD3B-1,SNORD49A,SCDP1,SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,UBB,USP22,RNF112,ULK2,ZNF287,NT5M,RASD1,TMEM11,MEIS3P2,SMCR2,SMCR5,MIEF2,SMCR8,TRPV2,TNFRSF13B,EPN2,RNASEH1P2,ATPAF2,TVP23B,COTL1P1,KCTD9P1,COPS3,SLC5A10,B9D1,COTL1P2,DHRS7B,LGALS9B,DRC3,MED9,SLC47A1,FAM106A,ALKBH5,SLC47A2,CCDC144B,TBC1D28,FLCN,LINC02693,TBC1D27P,GID4,SNHG29,CCDC144A,CCDC144CP,ZNF624,CENPV,DRG2,MPRIP,SRP68P2,SRP68P1,SRP68P3,PLD6,UPF3AP2,UPF3AP1,SPECC1,USP32P2,NATD1,UBE2SP2,LRRC75A,TBC1D3P3,TBC1D3P4,BRI3P3,FAM83G,SNORA59B,TRIM16L,SNORD49B,SNORD65,MIR33B,SNORD3A,SNORD3B-2,SNORD3C,SNORD3D,ZNF286B,CCDC144NL,LGALS9C,ABHD17AP6,CDRT15L2,NMTRQ-TTG12-1,NOS2P3,EVPLL,MIR1180,MIR1288,RPL13P12,RPL21P120,RPS2P46,RPL17P43,RPL21P121,AKAP10,RPL7AP65,GRAPL,FLII,KRT16P2,KRT16P3,KRT16P4,KRT16P5,FTLP12,FOXO3B,FAM106C,KCNJ18,KYNUP1,KYNUP2,KYNUP3,HNRNPA1P19,NEK4P2,ALDH3A2,RAI1-AS1,ALDH3A1,EPN2-AS1,MPRIP-AS1,MTND1P14,MTND2P12,NCOR1P2,USP32P1,USP32P3,ZSWIM5P2,TSEN15P1,RNFT1P3,TNPO1P2,NDUFB4P3,OLA1P2,GRAP,RN7SL426P,RN7SL620P,RN7SL627P,RN7SL775P,RNU6-258P,RNU6-405P,RNU6-467P,RNU6-468P,RNU6-767P,RNU6-1057P,RNU6-1178P,PDLIM1P2,YWHAEP2,YWHAEP3,EIF1P5,ACTG1P24,MIR6777,MIR6778,TNPO1P3,KRT16P6,NOS2P4,KRT17P4,KRT17P5,KRT17P6,KRT17P7,CCDC144NL-AS1,LINC01563,SLC47A1P1,MTCO1P39,LINC02076,LINC02088,LINC02090,LINC02094,SLC47A1P2,SPECC1P2,SRSF6P2,KCNJ12,KRT16P1,KRT17P1,KRT17P2,LLGL1,MAP2K3,MAPK7,MFAP4,MYO15A,NCOR1,NOS2P2,PEMT,PIGL,PRPSAP2,RAI1	179	65	NA	NA	NA
chr17	64860057	68147323	3287267	*	30288	0.9158412572636028	120	30kb_91.6%	CEP112	RGS9,CEP112,BPTF,AXIN2,PSMD12	NOL11	RGS9,CACNG1,CACNG4,CACNG5,HELZ,PITPNC1,NOL11,C17orf58,CEP112,LRRC37A3,BPTF,GNA13,APOH,KPNA2,AXIN2,PRKCA,PSMD12	RGS9,SH3GL1P3,CACNG1,CACNG4,CACNG5,HELZ,PITPNC1,NOL11,AMZ2P1,C17orf58,CEP112,LRRC37A3,MIR548D2,MIR634,SNORA38B,BPTF,RPL17P41,RPL36AP48,MIR548AA2,RNA5SP444,RNA5SP445,RNA5SP446,RNA5SP447,GNA13,LRRC37A16P,LINC00674,RN7SL404P,RN7SL622P,RN7SL735P,RN7SL756P,RNU6-928P,SLC16A6P1,FBXO36P1,PRKCA-AS1,RPSAP67,LINC02563,RDM1P4,APOH,KPNA2,PSMD7P1,AXIN2,PRKCA,PSMD12	43	17	NA	NA	NA
chr22	18348831	22642740	4293910	*	12316	0.9703637544657356	109	12kb_97%	SLC25A1,SNAP29,CDC45,TXNRD2,SCARF2,TANGO2,GP1BB,LZTR1,PI4KA,PRODH	SLC25A1,SNAP29,TBX1,CDC45,TXNRD2,SCARF2,CRKL,TANGO2,GP1BB,SERPIND1,LZTR1,MAPK1,PI4KA,PRODH	CDC45,PI4KA,TOP3B	SDF2L1,SLC25A1,SLC7A4,SNAP29,TSSK2,TBX1,TOP3B,UBE2L3,UFD1,VPREB1,YPEL1,ZNF74,MED15,MRPL40,ESS2,CDC45,TXNRD2,ZDHHC8,DGCR6L,HIC2,ZNF280A,RTN4R,PPM1F,SCARF2,USP41,CLDN5,CLTCL1,COMT,ZNF280B,THAP7,CRKL,TRMT2A,TANGO2,KLHL22,RTL10,AIFM3,CCDC116,C22orf39,YDJC,DGCR2,DGCR6,DGCR8,RIMBP3,GGTLC3,TMEM191B,TMEM191C,RIMBP3B,RIMBP3C,LRRC74B,GGT2,GNB1L,GP1BB,GSC2,SERPIND1,HIRA,CCDC188,FAM246B,FAM246A,LZTR1,MAPK1,ARVCF,P2RX6,PI4KA,SEPTIN5,PPIL2,PRAME,PRODH,RANBP1	BCRP2,BCRP4,BCRP5,SDF2L1,SLC25A1,SLC7A4,SNAP29,TSSK1A,TSSK2,TBX1,TOP3B,TOP3BP1,UBE2L3,UFD1,VPREB1,YPEL1,ZNF74,MED15,MRPL40,CA15P2,IGLVVII-41-1,IGLVIV-66-1,POM121L1P,DGCR5,ESS2,DGCR11,CDC45,TXNRD2,ZDHHC8,DGCR6L,HIC2,ZNF280A,RTN4R,KRT18P5,SLC9A3P2,POM121L4P,BMP6P1,SOCS2P2,ASH2LP1,PPM1F,SCARF2,USP41,CLDN5,CLTCL1,COMT,ZNF280B,THAP7,CRKL,TUBA3FP,TRMT2A,TMEM191A,TANGO2,KLHL22,RTL10,AIFM3,LINC00896,CCDC116,C22orf39,YDJC,DGCR2,DGCR6,DGCR8,RIMBP3,MIR130B,MIR185,MIR649,FAM230B,GGTLC3,PI4KAP1,PI4KAP2,TMEM191B,TMEM191C,MIR301B,RIMBP3B,RIMBP3C,ABHD17AP4,ABHD17AP5,P2RX6P,LRRC74B,PRAMENP,SUSD2P2,MIR1286,MIR1306,POM121L7P,POM121L8P,IGLL4P,MIR3618,BCRP6,BCRP7,SMPD4P1,PPM1F-AS1,THAP7-AS1,RNY1P9,MIR4761,PPP1R26P2,PPP1R26P3,PPP1R26P4,PPP1R26P5,GGT2,GGT3P,RNA5SP493,GNB1L,TUBA3GP,CA15P1,GP1BB,FAM230A,RN7SKP63,RN7SKP131,RN7SKP221,GSC2,RN7SL168P,RN7SL280P,RN7SL812P,RNU6-225P,SERPIND1,LINC00895,KRT18P62,HIRA,MIR6816,LINC01311,E2F6P1,E2F6P2,E2F6P3,CCDC188,CCDC74BP1,SNORA77B,FAM230G,LINC01637,LINC01651,FAM230J,FAM230E,FAM230F,ASH2LP2,ASH2LP3,FAM230H,FAM246C,FAM246B,FAM246A,FAM247A,FAM247B,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV10-67,IGLV11-55,IGLV2-33,IGLV2-34,IGLV3-30,IGLV3-31,IGLV3-32,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-38,IGLVI-42,IGLVI-56,IGLVI-63,IGLVI-68,IGLVI-70,IGLVIV-53,IGLVIV-59,IGLVIV-64,IGLVIV-65,IGLVV-58,IGLVV-66,LZTR1,MAPK1,ARVCF,P2RX6,PI4KA,SEPTIN5,PPIL2,PRAME,PRODH,RANBP1	190	68	NA	NA	NA
